Filme,Ano,Genero,Personagem,Imagemfilme,Trilha,Trailer
Barbie em o Quebra-Nozes,2001,Fantasia,Clara,barbie-o-quebra-nozes.webp,Lago dos cisnes.mp3,https://youtu.be/V3CGDRI5D0g?si=IL0hTOw-BgDzeP3L
Barbie como Rapunzel,2002,Fantasia,Rapunzel,Barbie como Rapunzel.jpeg,Rapunzel.mp3,https://youtu.be/1CoR0bZuMow?si=n85EgO0-VegxR78w
Barbie em O Lago dos Cisnes,2003,Fantasia,Odette,Barbie em O Lago dos Cisnes.webp,Lago dos cisnes.mp3,https://youtu.be/60PgxDHrdro?si=XYY6bvJHdA7EqMpG
Barbie: A Princesa e a Plebéia,2004,Musical / Fantaia,Anneliese / Erika,A Princesa e a Plebéia.jpeg,A princesa e a plebeia.mp3,https://youtu.be/mFosZMx86d0?si=JYP9ECs0K-Ye4XyV  
Barbie Fairytopia,2005,Fantasia,Elina,Barbie Fairytopia.webp,Barbie fairytopia.mp3,https://youtu.be/Snxs-ZsuPbE?si=UkbZxR9cWFQdgASc 
Barbie e o Castelo de Diamante,2008,Musical,Liana,Barbie e o Castelo de Diamante.jpeg,castelo2.mp3,https://youtu.be/PL9lxDPwpng?si=tnyL7jJ2_ntDjAcV
Barbie e as 12 Princesas Bailarinas,2006,Fantasia,Genevieve,Barbie e as 12 Princesas Bailarinas.jpg,Lago dos cisnes.mp3,https://youtu.be/KLQQHYgl5ME?si=xjTiQFCQ5Vrnhlxh
Barbie em A Canção de Natal,2008,Natal,Eden Starling,Barbie em A Canção de Natal.webp,Natal.mp3,https://youtu.be/haBHh2Oehbo?si=J8kUpdLSXoTdgT-o
Barbie: A Princesa e a Popstar,2012,Fantasia,Tori / Keira,A Princesa e a Popstar.webp,Pop star.mp3,https://youtu.be/MMSxXvrxvV0?si=ZPuRqtJs3E0aBe1b
Barbie Video Game Hero,	2017,Aventura,Barbie,Barbie Video Game Hero.webp,Game.mp3,https://youtu.be/B66Dfk6LfZ4?si=kP7xnj-B6sGzdLtW
